County/City,Ward,Pct,"Justin Edward Fairfax","Jill Holtzman Vogel","All Others","Total Votes Cast"
"Augusta County",-,"503 - Spottswood",122,449,1,572
"Augusta County",-,"504 - White Hill",234,916,1,"1,151"
"Augusta County",-,"601 - Sherando",168,557,0,725
"Augusta County",-,"602 - Ridgeview",361,"1,263",2,"1,626"
"Augusta County",-,"603 - Lyndhurst",326,864,2,"1,192"
"Augusta County",-,"801 - Dooms",194,655,1,850
"Augusta County",-,"802 - Fishersville",467,"1,130",1,"1,598"
"Augusta County",-,"803 - Wilson",387,761,2,"1,150"
"Augusta County",-,"Ab - Central Absentee Precinct",294,644,2,940
"Augusta County",-,Provisional,3,8,0,11
"Bath County",-,"101 - Warm Springs",91,159,0,250
"Bath County",-,"102 - Mountain Grove",10,46,1,57
"Bath County",-,"201 - Hot Springs",77,139,0,216
"Bath County",-,"301 - Fairview",42,182,0,224
"Bath County",-,"302 - Burnsville",11,40,0,51
"Bath County",-,"401 - Millboro",83,215,0,298
"Bath County",-,"501 - Healing Springs",84,218,0,302
"Bath County",-,"Ab - Central Absentee Precinct",34,40,0,74
"Bath County",-,Provisional,0,0,0,0
"Bedford County",-,"101 - Goodview Elem School (CD 5)",199,850,1,"1,050"
"Bedford County",-,"102 - Hardy Vol Fire Co (CD 5)",132,376,0,508
"Bedford County",-,"103 - Chamblissburg Baptist Church (CD 5)",186,597,0,783
"Bedford County",-,"104 - Stewartsville Rescue Squad (CD 5)",140,565,1,706
"Bedford County",-,"201 - Bedford Christian Church (CD 5)",92,315,0,407
"Bedford County",-,"202 - Staunton River High School (CD 5)",110,452,1,563
"Bedford County",-,"203 - Moneta Elem School (CD 5)",290,908,1,"1,199"
"Bedford County",-,"204 - Quaker Baptist Church (CD 5)",86,303,0,389
"Bedford County",-,"205 - Saunders Vol Fire Co (CD 5)",227,725,0,952
"Bedford County",-,"301 - New London Academy (CD 6)",341,"1,584",0,"1,925"
"Bedford County",-,"302 - Bedford Regional Water Auth (CD 5)",159,639,0,798
"Bedford County",-,"303 - Bethesda United Methodist Church (CD 5)",119,387,0,506
"Bedford County",-,"304 - Forest Youth Athletic Assoc (CD 6)",121,419,1,541
"Bedford County",-,"305 - Huddleston Elem School (CD 5)",74,353,0,427
"Bedford County",-,"401 - Forest Elementary School (CD 6)",313,"1,036",3,"1,352"
"Bedford County",-,"402 - Thomas Jefferson Elem School (CD 6)",176,556,2,734
"Bedford County",-,"403 - Knights Of Columbus Bldg (CD 6)",388,"1,218",1,"1,607"
"Bedford County",-,"404 - St. Paul Baptist Church (CD 6)",226,952,0,"1,178"
"Bedford County",-,"502 - Big Island Elem School (CD 6)",78,236,0,314
"Bedford County",-,"503 - Sedalia Center (CD 6)",96,314,1,411
"Bedford County",-,"504 - Suck Springs Baptist Church (CD 6)",117,509,0,626
"Bedford County",-,"505 - Boonsboro Elementary School (CD 6)",340,935,1,"1,276"
"Bedford County",-,"506 - Boonsboro Ruritan Club (CD 6)",351,"1,314",0,"1,665"
"Bedford County",-,"601 - Montvale Elem School (CD 6)",178,604,0,782
"Bedford County",-,"602 - Shady Grove Fire Department (CD 5)",163,595,0,758
"Bedford County",-,"603 - Thaxton Baptist Church #1 (CD 5)",44,154,1,199
"Bedford County",-,"604 - Bedford Welcome Center (CD 5)",305,794,1,"1,100"
"Bedford County",-,"701 - Goode Vol Rescue Squad (CD 5)",190,"1,030",0,"1,220"
"Bedford County",-,"702 - Liberty High School (CD 5)",175,497,0,672
"Bedford County",-,"703 - Thaxton Baptist Church #2 (CD 5)",90,404,0,494
"Bedford County",-,"704 - Bedford Central Library (CD 5)",416,760,0,"1,176"
"Bedford County",-,"Ab - Central Absentee Precinct (CD 5)",238,530,0,768
"Bedford County",-,"Ab - Central Absentee Precinct (CD 6)",185,356,0,541
"Bedford County",-,"Provisional (CD 5)",2,6,0,8
"Bedford County",-,"Provisional (CD 6)",1,3,0,4
"Bland County",-,"101 - Bastian",44,192,0,236
"Bland County",-,"102 - Ceres",41,231,1,273
"Bland County",-,"201 - Davis",15,62,0,77
"Bland County",-,"202 - Seddon",99,403,0,502
"Bland County",-,"301 - Hollybrook",30,191,1,222
"Bland County",-,"302 - Mechanicsburg",20,106,0,126
"Bland County",-,"401 - Rocky Gap",103,417,0,520
"Bland County",-,"Ab - Central Absentee Precinct",26,66,0,92
"Bland County",-,Provisional,0,2,0,2
"Botetourt County",-,"101 - Daleville",388,926,0,"1,314"
"Botetourt County",-,"102 - Greenfield",287,"1,131",0,"1,418"
"Botetourt County",-,"201 - Blue Ridge",287,929,0,"1,216"
"Botetourt County",-,"202 - Rainbow Forest",296,992,3,"1,291"
"Botetourt County",-,"301 - Buchanan",231,772,3,"1,006"
"Botetourt County",-,"302 - Mill Creek",249,779,1,"1,029"
"Botetourt County",-,"403 - Eagle Rock",134,552,3,689
"Botetourt County",-,"406 - Fincastle",379,"1,059",1,"1,439"
"Botetourt County",-,"501 - Troutville",167,514,0,681
"Botetourt County",-,"502 - Cloverdale",445,"1,230",1,"1,676"
"Botetourt County",-,"Ab - Central Absentee Precinct",218,443,1,662
"Botetourt County",-,Provisional,3,2,0,5
"Bristol City",-,"1 - First Ward",188,454,0,642
"Bristol City",-,"2 - Second Ward",341,718,2,"1,061"
"Bristol City",-,"3 - Third Ward",229,328,0,557
"Bristol City",-,"4 - Fourth Ward",357,"1,329",2,"1,688"
"Bristol City",-,"Ab - Central Absentee Precinct",89,178,0,267
"Bristol City",-,Provisional,2,2,0,4
"Brunswick County",-,"101 - Brodnax",119,111,0,230
"Brunswick County",-,"102 - Rock Store",152,207,0,359
"Brunswick County",-,"103 - Tillman",138,261,0,399
"Brunswick County",-,"201 - Dromgoole",77,76,0,153
"Brunswick County",-,"202 - Edgerton",269,123,1,393
"Brunswick County",-,"203 - Fitzhugh",246,116,0,362
"Brunswick County",-,"301 - Alberta",44,59,0,103
"Brunswick County",-,"302 - Danieltown",232,209,0,441
"Brunswick County",-,"303 - Elmore",100,103,0,203
"Brunswick County",-,"304 - Seymour",107,73,0,180
"Brunswick County",-,"401 - Sturgeon",399,273,0,672
"Brunswick County",-,"402 - King's Store",174,79,0,253
"Brunswick County",-,"501 - Totaro",532,190,0,722
"Brunswick County",-,"Ab - Central Absentee Precinct",117,158,0,275
"Brunswick County",-,Provisional,3,1,0,4
"Buchanan County",-,"102 - Blackey",30,129,0,159
"Buchanan County",-,"103 - Hurley",52,289,1,342
"Buchanan County",-,"201 - Grassy",25,31,0,56
"Buchanan County",-,"202 - Bull",48,167,1,216
"Buchanan County",-,"203 - Rocklick",71,170,0,241
"Buchanan County",-,"301 - Slate",91,207,1,299
"Buchanan County",-,"302 - North Grundy",64,217,0,281
"Buchanan County",-,"403 - South Grundy",103,352,0,455
"Buchanan County",-,"404 - Oakwood",7,38,0,45
"Buchanan County",-,"501 - Prater",100,150,0,250
"Buchanan County",-,"502 - Fox",49,45,1,95
"Buchanan County",-,"503 - Vansant",67,207,1,275
"Buchanan County",-,"601 - Council",45,131,0,176
"Buchanan County",-,"602 - Garden",66,209,1,276
"Buchanan County",-,"603 - Hurricane",69,117,0,186
"Buchanan County",-,"701 - Whitewood",115,274,0,389
"Buchanan County",-,"702 - Contrary",58,228,0,286
"Buchanan County",-,"Ab - Central Absentee Precinct",123,259,1,383
"Buchanan County",-,Provisional,0,0,0,0
"Buckingham County",-,"101 - New Canton",253,330,0,583
"Buckingham County",-,"102 - Georgia Creek",66,114,1,181
"Buckingham County",-,"201 - White Hall",175,221,0,396
"Buckingham County",-,"301 - Curdsville",165,281,0,446
"Buckingham County",-,"302 - New Store",76,248,0,324
"Buckingham County",-,"401 - Maysville",249,446,0,695
"Buckingham County",-,"501 - Wrights",75,227,0,302
"Buckingham County",-,"502 - Glenmore",219,204,0,423
"Buckingham County",-,"601 - Slate River",328,250,0,578
"Buckingham County",-,"701 - Gold Hill",190,238,1,429
"Buckingham County",-,"Ab - Central Absentee Precinct",83,128,0,211
"Buckingham County",-,Provisional,1,0,0,1
"Buena Vista City",-,"1 - First Ward",262,652,1,915
"Buena Vista City",-,"2 - Second Ward",223,483,0,706
"Buena Vista City",-,Provisional,0,0,0,0
"Campbell County",-,"101 - Brookville",331,"1,155",0,"1,486"
"Campbell County",-,"102 - New London",285,"1,112",1,"1,398"
"Campbell County",-,"201 - Walker",243,785,1,"1,029"
"Campbell County",-,"202 - Bedford Springs",295,"1,181",1,"1,477"
"Campbell County",-,"301 - Evington",112,386,1,499
"Campbell County",-,"302 - Otter River",99,365,0,464
"Campbell County",-,"303 - Altavista",398,792,0,"1,190"
"Campbell County",-,"401 - Three Forks",151,782,2,935
"Campbell County",-,"402 - Court House",321,"1,313",3,"1,637"
"Campbell County",-,"501 - Spring Hill",265,"1,087",5,"1,357"
"Campbell County",-,"502 - Yellow Branch",236,599,0,835
"Campbell County",-,"601 - Kings",240,639,1,880
"Campbell County",-,"602 - Concord",312,"1,014",1,"1,327"
"Campbell County",-,"701 - Brookneal",213,475,0,688
"Campbell County",-,"702 - Gladys",263,660,1,924
"Campbell County",-,"703 - Morris Church",109,335,1,445
"Campbell County",-,"Ab - Central Absentee Precinct",197,526,5,728
"Campbell County",-,Provisional,0,0,0,0
"Caroline County",-,"101 - Bowling Green",262,534,1,797
"Caroline County",-,"102 - Sparta",218,355,0,573
"Caroline County",-,"201 - North Madison",332,293,1,626
"Caroline County",-,"202 - South Madison",360,391,0,751
"Caroline County",-,"301 - Port Royal",130,195,1,326
"Caroline County",-,"302 - Woodford",378,496,1,875
"Caroline County",-,"401 - Dawn",699,417,0,"1,116"
"Caroline County",-,"402 - Carmel Church",242,151,0,393
"Caroline County",-,"501 - West Mattaponi",458,271,0,729
"Caroline County",-,"502 - Milford",236,315,0,551
"Caroline County",-,"601 - Chilesburg",343,355,0,698
"Caroline County",-,"602 - Lake",238,261,0,499
"Caroline County",-,"Ab - Central Absentee Precinct",173,227,0,400
"Caroline County",-,Provisional,1,0,0,1
"Carroll County",-,"101 - Mt Bethel",63,224,0,287
"Carroll County",-,"102 - St Paul",87,349,0,436
"Carroll County",-,"103 - Lambsburg",40,209,1,250
"Carroll County",-,"105 - Fancy Gap",105,311,1,417
"Carroll County",-,"201 - Hillsville B",238,700,0,938
"Carroll County",-,"202 - Laurel Fork",76,262,0,338
"Carroll County",-,"203 - Gladesboro",119,370,0,489
"Carroll County",-,"301 - Hillsville C",222,736,1,959
"Carroll County",-,"302 - Sylvatus",69,301,0,370
"Carroll County",-,"303 - Dugspur",41,157,0,198
"Carroll County",-,"402 - Woodlawn D",167,546,0,713
"Carroll County",-,"403 - Oakland D",81,345,0,426
"Carroll County",-,"405 - Oakland A",77,245,0,322
"Carroll County",-,"406 - Woodlawn F",22,92,0,114
"Carroll County",-,"501 - Vaughan",41,207,0,248
"Carroll County",-,"502 - Gladeville",104,547,0,651
"Carroll County",-,"503 - Woodlawn E",55,267,0,322
"Carroll County",-,"504 - Laurel",51,296,0,347
"Carroll County",-,"Ab - Central Absentee Precinct",101,276,0,377
"Carroll County",-,Provisional,0,5,0,5
"Charles City County",-,"101 - Precinct 1-1",497,362,0,859
"Charles City County",-,"201 - Precinct 2-1",520,251,0,771
"Charles City County",-,"301 - Precinct 3-1",533,320,1,854
"Charles City County",-,"Ab - Central Absentee Precinct",148,71,0,219
"Charles City County",-,Provisional,0,1,0,1
"Charlotte County",-,"101 - County Seat",205,356,0,561
"Charlotte County",-,"201 - Red Oak Wylliesburg",194,396,0,590
"Charlotte County",-,"302 - Drakes Branch",146,295,0,441
"Charlotte County",-,"401 - Keysville",199,396,0,595
"Charlotte County",-,"501 - Cullen/Red House",188,300,4,492
"Charlotte County",-,"602 - Phenix",185,453,2,640
"Charlotte County",-,"702 - Bacon/Saxe",180,281,1,462
"Charlotte County",-,"Ab - Central Absentee Precinct",95,105,0,200
"Charlotte County",-,Provisional,1,0,0,1
"Charlottesville City",-,"101 - Recreation","1,769",343,5,"2,117"
"Charlottesville City",-,"102 - Clark","1,719",286,3,"2,008"
"Charlottesville City",-,"201 - Carver","1,421",166,3,"1,590"
"Charlottesville City",-,"202 - Walker","1,926",504,0,"2,430"
"Charlottesville City",-,"301 - Benjamin Tonsler","1,387",170,1,"1,558"
"Charlottesville City",-,"302 - Johnson","1,738",386,2,"2,126"
"Charlottesville City",-,"303 - Buford",819,128,0,947
"Charlottesville City",-,"401 - Venable",682,107,3,792
"Charlottesville City",-,"402 - Alumni Hall",984,266,0,"1,250"
"Charlottesville City",-,"Ab - Central Absentee Precinct","1,212",200,1,"1,413"
"Charlottesville City",-,Provisional,30,6,0,36
"Chesapeake City",-,"1 - Great Bridge (CD 4)",421,790,0,"1,211"
"Chesapeake City",-,"2 - Bethel (CD 4)",233,883,1,"1,117"
"Chesapeake City",-,"3 - Camelot (CD 3)","1,488",85,1,"1,574"
"Chesapeake City",-,"4 - Churchland (CD 3)",327,659,0,986
"Chesapeake City",-,"5 - Crestwood (CD 3)","1,079",102,1,"1,182"
"Chesapeake City",-,"6 - Deep Creek (CD 4)","1,203",911,0,"2,114"
"Chesapeake City",-,"7 - Greenbrier (CD 4)",587,856,0,"1,443"
"Chesapeake City",-,"8 - South Norfolk Recreation (CD 3)",657,542,0,"1,199"
"Chesapeake City",-,"9 - Bells Mill (CD 4)",753,"1,404",2,"2,159"
"Chesapeake City",-,"10 - Oscar Smith (CD 3)",260,282,0,542
"Chesapeake City",-,"11 - Geneva Park (CD 3)",375,453,1,829
"Chesapeake City",-,"12 - Georgetown (CD 3)","1,001",148,0,"1,149"
"Chesapeake City",-,"13 - Gilmerton (CD 3)",500,514,1,"1,015"
"Chesapeake City",-,"14 - Grassfield (CD 4)",153,220,0,373
"Chesapeake City",-,"15 - B M Williams (CD 3)",634,385,1,"1,020"
"Chesapeake City",-,"16 - Hickory Grove (CD 4)",364,937,0,"1,301"
"Chesapeake City",-,"17 - Indian Creek (CD 4)",237,638,1,876
"Chesapeake City",-,"18 - Indian River (CD 3)",542,260,0,802
"Chesapeake City",-,"19 - Jolliff (CD 4)",315,599,0,914
"Chesapeake City",-,"20 - E W Chittum (CD 3)",4,9,0,13
"Chesapeake City",-,"20 - E W Chittum (CD 4)",602,805,2,"1,409"
"Chesapeake City",-,"21 - Fellowship (CD 3)",560,685,0,"1,245"
"Chesapeake City",-,"22 - Norfolk Highlands (CD 3)",295,400,0,695
"Chesapeake City",-,"23 - Oak Grove (CD 4)",657,544,1,"1,202"
"Chesapeake City",-,"24 - Oaklette (CD 3)",592,368,2,962
"Chesapeake City",-,"25 - St Julians (CD 3)",307,272,2,581
"Chesapeake City",-,"26 - Johnson Park (CD 3)",348,158,2,508
"Chesapeake City",-,"27 - Silverwood (CD 3)",626,853,2,"1,481"
"Chesapeake City",-,"28 - Sunray I (CD 4)",48,125,0,173
"Chesapeake City",-,"29 - Tanglewood (CD 3)",296,650,1,947
"Chesapeake City",-,"30 - South Norfolk (CD 3)",520,27,0,547
"Chesapeake City",-,"31 - Carver School (CD 3)","1,071",164,3,"1,238"
"Chesapeake City",-,"32 - Providence (CD 3)","1,333",57,1,"1,391"
"Chesapeake City",-,"33 - Westover (CD 3)",246,386,2,634
"Chesapeake City",-,"34 - Hickory Middle School (CD 4)",436,"1,271",0,"1,707"
"Chesapeake City",-,"35 - Taylor Road (CD 3)",546,245,3,794
"Chesapeake City",-,"36 - Great Bridge Baptist Church (CD 4)",648,"1,145",1,"1,794"
"Chesapeake City",-,"37 - Bridgetown (CD 4)",374,645,1,"1,020"
"Chesapeake City",-,"38 - Bailey Creek (CD 3)",336,765,0,"1,101"
"Chesapeake City",-,"39 - Lake Drummond (CD 4)",181,326,1,508
